quaternionTimestamp,quaternionX,quaternionY,quaternionZ,quaternionW,magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,accelerationTimestamp,accelerationX,accelerationY,accelerationZ,angularSpeedTimestamp,angularSpeedX,angularSpeedY,angularSpeedZ,insTimeStamp,insStatus,yaw,pitch,roll,latitude,longitude,altitude,nedVelX,nedVelY,nedVelZ
4761216,-0.00531694014,-0.00616590306,0.653078794,0.757246196,4761216,0.083175756,-0.22822763,0.323653013,4761216,-0.0249184705,0.169290602,-9.62438679,4761216,0.000996398274,-0.000202398398,-0.000230540056,4761216,32896,81.5526428,-0.13713479,-0.922854364,0,0,0,0,0,0
4813693,-0.0053320704,-0.00616945093,0.653076172,0.757248282,4813693,0.0782483816,-0.228418738,0.316552132,4813693,-0.0313072391,0.139401123,-9.62243843,4813693,0.000168757746,0.000501836766,-0.00012265658,4813693,128,81.5522537,-0.136313409,-0.924432337,0,0,0,0,0,0
4866148,-0.00532653555,-0.00617238088,0.653069019,0.757254601,4866148,0.0783119202,-0.229672238,0.319299519,4866148,-0.0150083527,0.178943545,-9.57839775,4866148,-0.000626195688,0.00138871395,-0.00014340179,4866148,32896,81.5511703,-0.136990756,-0.924170136,0,0,0,0,0,0
4919034,-0.00533641735,-0.00617521489,0.653070331,0.757253349,4919034,0.0808945894,-0.233354121,0.322124928,4919034,-0.0195323005,0.169420913,-9.63432789,4919034,0.000266466988,-0.000185103621,-0.000358377118,4919034,128,81.5513763,-0.136495456,-0.925240099,0,0,0,0,0,0
4971305,-0.00533344876,-0.00618296862,0.653070807,0.757252812,4971305,0.0794674978,-0.228376821,0.316604704,4971305,-0.0431257002,0.134080723,-9.60713673,4971305,0.000152162276,0.000926475506,-0.000121588819,4971305,32896,81.5514603,-0.137389779,-0.925562859,0,0,0,0,0,0
5023819,-0.00533141615,-0.00617895136,0.653071702,0.757252157,5023819,0.0820305273,-0.230794892,0.322201371,5023819,-0.0124415001,0.178417027,-9.56865501,5023819,-0.000658002216,0.000413451111,9.56794247e-05,5023819,128,81.55159,-0.137192264,-0.925086021,0,0,0,0,0,0
5076254,-0.00533282291,-0.00620310521,0.65304935,0.75727123,5076254,0.0807490945,-0.229586348,0.31940335,5076254,-0.0489583462,0.170670524,-9.60373688,5076254,-0.000679183286,-0.00139956421,-0.000139850657,5076254,32896,81.548233,-0.139210165,-0.927011669,0,0,0,0,0,0
5129080,-0.00531043345,-0.00621780101,0.653066695,0.757256269,5129080,0.08083231,-0.232105076,0.319381326,5129080,0.00252049835,0.161006659,-9.58094978,5129080,6.91181049e-06,-0.000980796991,0.000673162285,5129080,128,81.5508804,-0.142139718,-0.926171899,0,0,0,0,0,0
5181308,-0.00534927938,-0.00621296233,0.653056443,0.757264912,5181308,0.0783342794,-0.229669929,0.322061568,5181308,-0.0478548184,0.135511965,-9.56898499,5181308,0.00014600181,0.000768015161,0.000704934821,5181308,32896,81.549324,-0.138825133,-0.929178894,0,0,0,0,0,0
5233518,-0.00531519111,-0.00622105552,0.653031707,0.75728631,5233518,0.0782714859,-0.228418276,0.319315672,5233518,-0.0224479809,0.157403946,-9.61125183,5233518,-5.0032977e-06,0.00072486524,0.00030312594,5233518,128,81.5455933,-0.142108813,-0.926821828,0,0,0,0,0,0
5286169,-0.00532329176,-0.00621337304,0.653030336,0.757287621,5286169,0.0806671977,-0.227073625,0.319431126,5286169,-0.00889982283,0.137781143,-9.6240263,5286169,-0.00162171526,0.00150332903,0.000295772683,5286169,32896,81.545372,-0.140837684,-0.926949441,0,0,0,0,0,0
5338727,-0.00528956065,-0.00623104814,0.6530146,0.757301271,5338727,0.0782105178,-0.225896373,0.322099298,5338727,-0.0220761187,0.158616871,-9.56046486,5338727,-0.000283926958,0.000549520832,0.000356493983,5338727,128,81.5430145,-0.14491494,-0.925342023,0,0,0,0,0,0
5391215,-0.00530015258,-0.00622356543,0.653005242,0.757309318,5391215,0.0819692686,-0.229548723,0.319460392,5391215,0.00249707233,0.166465878,-9.6044693,5391215,0.000240147812,-0.000646988978,0.00012567034,5391215,32896,81.5415955,-0.143484429,-0.925699413,0,0,0,0,0,0
5443824,-0.00530049345,-0.00623029564,0.652991831,0.757320821,5443824,0.079606019,-0.23088482,0.323483407,5443824,-0.0265193917,0.161682338,-9.63929653,5443824,0.000269520096,-0.000273570186,-0.00141002564,5443824,128,81.5395737,-0.144059345,-0.926230192,0,0,0,0,0,0
5496276,-0.00528855994,-0.00623547612,0.652985156,0.757326603,5496276,0.0807203129,-0.228331551,0.320800811,5496276,-0.0250274371,0.139587581,-9.61920738,5496276,-7.17099756e-05,0.00110219372,0.000501319766,5496276,32896,81.5385666,-0.145410076,-0.925580859,0,0,0,0,0,0
5548713,-0.00529136416,-0.00623757951,0.652997792,0.757315695,5548713,0.0807420388,-0.228325799,0.323560089,5548713,-0.00879971124,0.165108323,-9.61990356,5548713,0.000166053884,-0.000641329156,0.000697841402,5548713,128,81.5404892,-0.14536728,-0.925984144,0,0,0,0,0,0
5601234,-0.00528620742,-0.00625199731,0.652979016,0.757331729,5601234,0.0819804296,-0.229547441,0.320841134,5601234,-0.0436026305,0.152796477,-9.60766411,5601234,-0.000851321965,0.000450029504,-0.000229493249,5601234,32896,81.5376663,-0.147027254,-0.92661202,0,0,0,0,0,0
5653731,-0.00528766075,-0.00624537887,0.652985215,0.757326484,5653731,0.0794086307,-0.225862846,0.319395512,5653731,-0.0212815944,0.164859191,-9.58370113,5653731,-0.000114049762,-0.00144764048,0.00039007701,5653731,128,81.5385895,-0.146336585,-0.926243901,0,0,0,0,0,0
5706262,-0.00530373817,-0.00624962151,0.652967155,0.757341921,5706262,0.084448345,-0.230723098,0.319553703,5706262,-0.0415320769,0.140135184,-9.63955498,5706262,0.000912528252,-0.000861982175,-0.0011268144,5706262,32896,81.5358658,-0.145523846,-0.927953303,0,0,0,0,0,0
5758783,-0.00531301647,-0.00623125071,0.652976394,0.757334054,5758783,0.0783452243,-0.230944797,0.317917824,5758783,0.00638936367,0.165956646,-9.61395168,5758783,-0.000968076987,-0.000461925461,0.000641510356,5758783,128,81.5372391,-0.143223971,-0.927385449,0,0,0,0,0,0
5811298,-0.00531299273,-0.0062454557,0.65297997,0.757330835,5811298,0.0819597244,-0.229557231,0.318085998,5811298,-0.038174212,0.168048203,-9.60142994,5811298,-0.00101667526,-0.000105185201,0.000203722622,5811298,32896,81.537796,-0.144454077,-0.928447068,0,0,0,0,0,0
5863680,-0.00530786673,-0.00624624081,0.652962148,0.757346272,5863680,0.0807626992,-0.229594335,0.320792943,5863680,-0.0138032781,0.171528906,-9.64150143,5863680,0.000337525038,6.69182045e-05,0.000164998695,5863680,128,81.5351028,-0.144927666,-0.928057432,0,0,0,0,0,0
5916099,-0.00530293491,-0.00627708714,0.652947068,0.757358968,5916099,0.0831888691,-0.229510218,0.319516301,5916099,-0.0622583143,0.131963432,-9.59675598,5916099,-0.000644440297,-0.000147730811,-0.00103977928,5916099,49280,81.5328674,-0.147992,-0.929935098,0,0,0,0,0,0
5969108,-0.00530625135,-0.00627260935,0.652952313,0.757354498,5969108,0.0794511884,-0.227125019,0.31938684,5969108,-0.00429400988,0.16659683,-9.63121605,5969108,-0.000480926363,-0.000647198351,0.000679119956,5969108,30848,81.5336609,-0.147348836,-0.929888785,0,0,0,0,0,0
6021292,-0.0053165229,-0.00627385685,0.652948201,0.757358015,6021292,0.081899263,-0.227035999,0.320870072,6021292,-0.047694914,0.152154982,-9.59571362,6021292,-0.000622479711,7.89865153e-05,0.000175365712,6021292,39040,81.5330276,-0.146693572,-0.93087256,0,0,0,0,0,0
6073771,-0.00531941978,-0.00627865456,0.652929723,0.75737381,6073771,0.0820234269,-0.230811194,0.320833981,6073771,-0.00416858867,0.153709173,-9.5756731,6073771,-0.000511037186,-5.76889142e-05,-0.000707296887,6073771,128,81.5302505,-0.146915808,-0.931479692,0,0,0,0,0,0
6126344,-0.0053249076,-0.00627889624,0.652936816,0.757367611,6126344,0.0869082063,-0.230633423,0.322418958,6126344,-0.0266287848,0.165414393,-9.5760479,6126344,-0.000594826881,2.48869183e-05,0.00228140177,6126344,32896,81.5313187,-0.146517441,-0.931975424,0,0,0,0,0,0
6178720,-0.00532522472,-0.00628708489,0.652948737,0.757357359,6178720,0.0818165019,-0.224519283,0.320894241,6178720,-0.0126878582,0.148236752,-9.66093826,6178720,0.000133646652,-0.00040412118,0.000545079354,6178720,128,81.5331345,-0.147189736,-0.932617962,0,0,0,0,0,0
6231215,-0.00533296214,-0.00628859596,0.65293175,0.757371902,6231215,0.0843254551,-0.226951852,0.3195934,6231215,-0.0310653783,0.144549996,-9.57849121,6231215,-0.00110408757,0.002070243,0.000911613926,6231215,32896,81.5305634,-0.146762803,-0.93339932,0,0,0,0,0,0
